"Judge","Division","JRT","JWT","COP","DSM","DWO","DPJ","NPQ","RMD","MISC","Total"
"Wong","1",0,0,2,0,0,0,0,0,0,2
"Remigio","2",1,0,11,0,0,0,1,0,0,13
"Ho","3",0,1,2,0,0,0,0,0,0,3
"Souza","11",0,0,7,0,2,0,0,0,0,9
"Malinao","15",0,0,0,0,0,0,0,0,0,0
"Johnson","17",0,0,0,0,0,0,0,0,0,0
"To'oto'o","19",0,0,7,0,1,0,0,0,0,8
"Morikawa","20",0,0,4,0,0,0,0,0,0,4
"Park","22",0,0,3,0,0,0,0,0,0,3
"Somerville","23",0,1,3,0,0,0,0,0,0,4
"Total","-",1,2,39,0,3,0,1,0,0,46
