"Judge","Division","JRT","JWT","COP","DSM","DWO","DPJ","NPQ","RMD","MISC","Total"
"Wong","1",0,0,2,0,0,0,0,0,0,2
"Remigio","2",0,0,1,0,1,0,1,0,0,3
"Ho","3",0,0,3,0,0,0,0,0,0,3
"Souza","11",0,0,2,0,1,0,0,0,0,3
"Malinao","15",0,0,0,0,0,0,0,0,0,0
"Johnson","17",0,0,1,0,0,0,0,0,0,1
"To'oto'o","19",0,0,0,0,0,0,0,0,0,0
"Morikawa","20",0,0,5,0,0,0,0,0,0,5
"Park","22",1,0,2,0,0,0,0,0,0,3
"Somerville","23",1,0,0,1,0,0,0,0,0,2
"Total","-",2,0,16,1,2,0,1,0,0,22
