"trial_week","HP01","HP02","HP03","HP11","HP15","HP17","HP19","HP20","HP22","HP23","Total"
"2024-05-13",20,18,11,4,0,0,4,2,9,6,74
"2024-05-20",15,2,0,0,0,0,11,0,1,1,30
"2024-05-27",20,12,16,15,0,0,11,14,6,7,101
"2024-06-03",16,8,7,7,0,0,17,11,18,12,96
"2024-06-10",10,7,14,4,0,0,9,12,14,17,87
"2024-06-17",16,22,8,5,0,0,4,13,5,9,82
"2024-06-24",7,10,11,18,0,0,9,11,10,21,97
"2024-07-01",9,16,8,13,0,0,5,14,16,14,95
"2024-07-08",5,9,1,7,0,0,18,2,6,9,57
"2024-07-15",1,4,2,3,0,0,10,2,9,4,35
"2024-07-22",0,1,1,0,0,0,4,0,6,7,19
"2024-07-29",0,1,1,0,0,0,10,2,5,3,22
"2024-08-05",5,0,0,6,0,0,12,2,1,2,28
"2024-08-12",1,1,0,0,0,0,2,2,2,2,10
"2024-08-19",2,0,1,0,0,0,0,0,1,1,5
"2024-08-26",2,3,0,1,0,0,6,1,0,0,13
"2024-09-02",1,0,0,1,0,0,0,1,0,0,3
"2024-09-09",0,1,1,1,0,0,3,2,0,1,9
"2024-09-16",1,0,0,0,0,0,11,0,1,0,13
"2024-09-23",0,0,0,3,0,0,9,0,0,2,14
"2024-09-30",1,0,0,0,0,0,9,1,1,0,12
"2024-10-07",0,0,0,0,0,0,7,0,1,2,10
"2024-10-14",1,0,0,1,0,0,2,0,0,0,4
"2024-10-21",0,0,0,2,0,0,5,1,1,0,9
"2024-10-28",5,1,0,1,0,0,1,0,2,0,10
"2024-11-04",0,2,0,1,0,0,1,0,1,0,5
"2024-11-11",0,0,0,0,0,0,1,0,0,0,1
"2024-11-18",0,0,0,1,0,0,0,0,0,0,1
"2024-11-25",7,0,0,0,0,0,2,0,0,0,9
"2024-12-02",0,0,0,1,0,0,0,0,2,0,3
"2025-01-13",0,0,0,0,0,0,0,0,0,1,1
"2025-01-20",0,0,0,0,0,0,0,0,0,1,1
"2026-01-26",0,0,1,0,0,0,0,0,0,0,1
"Total",145,118,83,95,0,0,183,93,118,122,957
