"Judge","Division","JRT","JWT","COP","DSM","DWO","DPJ","NPQ","RMD","MISC","Total"
"Wong","1",0,1,8,0,0,0,0,0,0,9
"Remigio","2",0,0,1,0,0,0,0,0,0,1
"Ho","3",0,0,0,0,0,0,0,0,0,0
"Souza","11",1,0,5,0,0,0,0,0,0,6
"Malinao","15",0,0,0,0,0,0,0,0,0,0
"Johnson","17",0,0,0,0,0,0,0,0,0,0
"To'oto'o","19",0,0,3,0,0,0,0,0,0,3
"Morikawa","20",0,0,3,0,0,0,0,0,0,3
"Park","22",0,0,7,0,0,0,0,0,0,7
"Somerville","23",0,0,0,0,0,0,0,0,0,0
"Total","-",1,1,27,0,0,0,0,0,0,29
