"Judge","Division","JRT","JWT","COP","DSM","DWO","DPJ","NPQ","RMD","MISC","Total"
"Wong","1",1,0,3,0,0,0,0,0,0,4
"Remigio","2",1,0,6,0,0,0,0,0,0,7
"Ho","3",0,0,5,2,0,0,0,0,0,7
"Souza","11",2,0,3,0,1,0,0,0,0,6
"Malinao","15",0,0,0,0,0,0,0,0,0,0
"Johnson","17",0,0,0,0,0,0,0,0,0,0
"To'oto'o","19",0,1,1,0,0,0,0,0,0,2
"Morikawa","20",0,0,1,0,0,0,0,0,0,1
"Park","22",0,0,3,0,0,0,0,0,0,3
"Somerville","23",1,0,1,1,0,0,0,0,0,3
"Total","-",5,1,23,3,1,0,0,0,0,33
