"trial_week","HP01","HP02","HP03","HP11","HP15","HP17","HP19","HP20","HP22","HP23","Total"
"2024-05-06",21,8,1,4,0,0,6,2,1,1,44
"2024-05-13",20,18,15,4,0,0,4,3,11,24,99
"2024-05-20",16,2,0,1,0,0,12,6,1,1,39
"2024-05-27",22,12,17,16,0,0,11,14,6,8,106
"2024-06-03",16,8,9,7,0,0,17,11,18,12,98
"2024-06-10",8,7,10,4,0,0,10,12,13,17,81
"2024-06-17",11,22,8,6,0,0,4,12,5,9,77
"2024-06-24",7,9,10,18,0,0,9,11,10,21,95
"2024-07-01",6,12,2,12,0,0,2,8,11,3,56
"2024-07-08",2,8,0,5,0,0,16,1,5,7,44
"2024-07-15",1,3,2,1,0,0,10,2,9,4,32
"2024-07-22",0,1,1,0,0,0,4,0,6,5,17
"2024-07-29",0,1,1,0,0,0,10,2,5,3,22
"2024-08-05",5,0,0,4,0,0,12,0,1,2,24
"2024-08-12",1,1,0,0,0,0,2,2,2,1,9
"2024-08-19",0,0,1,0,0,0,0,0,1,1,3
"2024-08-26",2,3,0,1,0,0,6,1,0,0,13
"2024-09-02",1,0,0,1,0,0,0,1,0,0,3
"2024-09-09",0,1,1,1,0,0,3,1,0,1,8
"2024-09-16",1,0,0,0,0,0,10,0,1,0,12
"2024-09-23",0,0,0,3,0,0,7,0,0,2,12
"2024-09-30",1,0,0,0,0,0,4,1,1,0,7
"2024-10-07",0,0,0,0,0,0,7,0,1,2,10
"2024-10-14",1,0,0,1,0,0,2,0,0,0,4
"2024-10-21",0,0,0,2,0,0,5,1,1,0,9
"2024-10-28",5,1,0,1,0,0,1,0,2,0,10
"2024-11-04",0,2,0,1,0,0,1,0,1,0,5
"2024-11-11",0,0,0,0,0,0,1,0,0,0,1
"2024-11-18",0,0,0,1,0,0,0,0,0,0,1
"2024-11-25",7,0,0,0,0,0,2,0,0,0,9
"2024-12-02",0,0,0,1,0,0,0,0,2,0,3
"2025-01-13",0,0,0,0,0,0,0,0,0,1,1
"2025-01-20",0,0,0,0,0,0,0,0,0,1,1
"2026-01-26",0,0,1,0,0,0,0,0,0,0,1
"Total",154,119,79,95,0,0,178,91,114,126,956
