"Judge","Division","JRT","JWT","COP","DSM","DWO","DPJ","NPQ","RMD","MISC","Total"
"Wong","1",0,0,0,0,0,0,0,0,0,0
"Remigio","2",1,0,5,0,0,0,0,0,0,6
"Ho","3",1,0,1,0,0,0,0,0,0,2
"Souza","11",0,0,4,0,0,1,0,0,0,5
"Malinao","15",0,0,0,0,0,0,0,0,0,0
"Johnson","17",0,0,0,0,0,0,0,0,0,0
"To'oto'o","19",0,0,0,0,1,0,0,0,0,1
"Morikawa","20",0,0,0,0,0,0,0,0,0,0
"Park","22",0,0,1,0,1,0,0,0,0,2
"Somerville","23",0,0,3,0,0,0,0,0,0,3
"Total","-",2,0,14,0,2,1,0,0,0,19
