"trial_week","HP01","HP02","HP03","HP11","HP15","HP17","HP19","HP20","HP22","HP23","Total"
"2024-03-25",1,12,7,1,0,0,6,0,5,0,32
"2024-04-01",4,10,7,4,0,0,1,2,5,12,45
"2024-04-08",7,21,7,5,0,0,14,10,8,15,87
"2024-04-15",20,19,10,6,0,0,8,8,10,20,101
"2024-04-22",19,14,8,9,0,0,12,11,15,5,93
"2024-04-29",18,17,6,23,0,0,6,13,12,3,98
"2024-05-06",20,21,7,16,0,0,18,17,12,12,123
"2024-05-13",21,4,13,13,0,0,11,12,10,25,109
"2024-05-20",7,0,0,4,0,0,12,3,1,0,27
"2024-05-27",4,5,2,9,0,0,8,5,6,2,41
"2024-06-03",4,0,1,1,0,0,15,1,5,0,27
"2024-06-10",0,0,0,0,0,0,7,0,3,1,11
"2024-06-17",5,2,1,1,0,0,2,1,1,1,14
"2024-06-24",0,0,0,4,0,0,3,2,1,9,19
"2024-07-01",3,0,0,1,0,0,1,0,3,0,8
"2024-07-08",0,2,0,1,0,0,13,0,1,4,21
"2024-07-15",2,0,1,0,0,0,10,1,3,1,18
"2024-07-22",0,1,1,0,0,0,4,0,1,2,9
"2024-07-29",0,1,0,0,0,0,6,0,1,1,9
"2024-08-05",5,0,0,1,0,0,9,0,0,1,16
"2024-08-12",1,1,0,0,0,0,2,0,2,0,6
"2024-08-19",0,0,0,0,0,0,0,0,1,1,2
"2024-08-26",1,0,0,0,0,0,6,0,0,0,7
"2024-09-02",1,0,0,1,0,0,0,1,0,0,3
"2024-09-09",0,0,0,1,0,0,1,0,0,1,3
"2024-09-16",0,0,0,0,0,0,1,0,0,0,1
"2024-09-23",0,0,0,2,0,0,0,0,0,1,3
"2024-09-30",1,0,0,0,0,0,0,0,0,0,1
"2024-10-07",0,0,0,0,0,0,0,0,0,2,2
"2024-10-14",0,0,0,1,0,0,2,0,0,0,3
"2024-10-21",0,0,0,2,0,0,0,0,0,0,2
"2024-10-28",2,0,0,1,0,0,0,0,0,0,3
"2024-11-04",0,0,0,1,0,0,0,0,0,0,1
"2024-11-25",7,0,0,0,0,0,2,0,0,0,9
"2025-01-13",0,0,0,0,0,0,0,0,0,1,1
"2026-01-26",0,0,1,0,0,0,0,0,0,0,1
"Total",153,130,72,108,0,0,180,87,106,120,956
