"trial_week","HP01","HP02","HP03","HP11","HP15","HP17","HP19","HP20","HP22","HP23","Total"
"2024-05-20",13,1,0,0,0,0,5,0,0,0,19
"2024-05-27",2,12,12,2,0,0,11,10,3,7,59
"2024-06-03",16,7,7,5,0,0,16,11,17,11,90
"2024-06-10",10,5,14,4,0,0,9,12,14,16,84
"2024-06-17",18,22,9,5,0,0,4,13,6,9,86
"2024-06-24",15,9,11,19,0,0,9,11,16,21,111
"2024-07-01",10,18,11,12,0,0,5,15,16,15,102
"2024-07-08",23,22,7,10,0,0,21,8,10,15,116
"2024-07-15",5,8,2,8,0,0,11,3,12,5,54
"2024-07-22",0,2,1,0,0,0,4,0,7,7,21
"2024-07-29",0,1,1,0,0,0,10,2,7,3,24
"2024-08-05",7,1,0,8,0,0,12,2,1,2,33
"2024-08-12",0,1,0,0,0,0,2,2,3,2,10
"2024-08-19",2,0,1,0,0,0,0,0,1,1,5
"2024-08-26",2,3,0,4,0,0,6,1,0,0,16
"2024-09-02",1,0,0,1,0,0,0,1,0,0,3
"2024-09-09",0,1,1,2,0,0,3,2,0,1,10
"2024-09-16",1,0,0,1,0,0,10,0,1,0,13
"2024-09-23",0,0,0,3,0,0,9,0,0,2,14
"2024-09-30",1,0,0,0,0,0,9,1,1,0,12
"2024-10-07",4,0,0,0,0,0,7,0,2,2,15
"2024-10-14",1,1,0,1,0,0,2,0,0,0,5
"2024-10-21",0,0,0,2,0,0,5,1,1,0,9
"2024-10-28",5,1,0,1,0,0,1,0,2,0,10
"2024-11-04",0,2,0,1,0,0,1,0,1,0,5
"2024-11-11",0,0,0,0,0,0,1,0,0,0,1
"2024-11-18",0,0,0,1,0,0,0,0,0,0,1
"2024-11-25",7,0,0,0,0,0,2,0,0,0,9
"2024-12-02",0,1,0,1,0,0,0,0,2,0,4
"2025-01-13",0,0,0,0,0,0,0,0,0,1,1
"2025-01-20",0,0,0,0,0,0,0,0,0,1,1
"2025-04-07",0,1,0,0,0,0,0,0,0,0,1
"2026-01-26",0,0,1,0,0,0,0,0,0,0,1
"Total",143,119,78,91,0,0,175,95,123,121,945
