"trial_week","HP01","HP02","HP03","HP11","HP15","HP17","HP19","HP20","HP22","HP23","Total"
"2024-04-22",4,5,3,2,0,0,2,0,3,0,19
"2024-04-29",15,15,7,1,0,0,2,11,16,3,70
"2024-05-06",21,22,10,16,0,0,18,15,10,11,123
"2024-05-13",22,19,19,14,0,0,11,15,16,24,140
"2024-05-20",16,2,0,1,0,0,11,6,1,1,38
"2024-05-27",23,12,17,16,0,0,12,15,11,9,115
"2024-06-03",8,7,7,6,0,0,17,11,15,12,83
"2024-06-10",6,6,9,4,0,0,10,8,13,17,73
"2024-06-17",8,7,1,5,0,0,4,6,3,3,37
"2024-06-24",1,2,1,12,0,0,3,4,4,14,41
"2024-07-01",4,0,0,2,0,0,1,1,4,1,13
"2024-07-08",1,3,0,1,0,0,16,1,1,7,30
"2024-07-15",2,2,2,0,0,0,10,2,7,3,28
"2024-07-22",0,1,1,0,0,0,4,0,1,4,11
"2024-07-29",0,1,0,0,0,0,8,2,5,2,18
"2024-08-05",5,0,0,3,0,0,12,0,1,1,22
"2024-08-12",1,1,0,0,0,0,2,0,2,1,7
"2024-08-19",0,0,0,0,0,0,0,0,1,1,2
"2024-08-26",2,0,0,0,0,0,6,0,0,0,8
"2024-09-02",1,0,0,1,0,0,0,1,0,0,3
"2024-09-09",0,0,1,1,0,0,2,0,0,1,5
"2024-09-16",1,0,0,0,0,0,9,0,1,0,11
"2024-09-23",0,0,0,2,0,0,2,0,0,2,6
"2024-09-30",1,0,0,0,0,0,4,1,0,0,6
"2024-10-07",0,0,0,0,0,0,3,0,1,2,6
"2024-10-14",0,0,0,1,0,0,2,0,0,0,3
"2024-10-21",0,0,0,2,0,0,5,1,1,0,9
"2024-10-28",5,0,0,1,0,0,1,0,2,0,9
"2024-11-04",0,0,0,1,0,0,1,0,1,0,3
"2024-11-11",0,0,0,0,0,0,1,0,0,0,1
"2024-11-25",7,0,0,0,0,0,2,0,0,0,9
"2025-01-13",0,0,0,0,0,0,0,0,0,1,1
"2026-01-26",0,0,1,0,0,0,0,0,0,0,1
"Total",154,105,79,92,0,0,181,100,120,120,951
