"trial_week","HP01","HP02","HP03","HP11","HP15","HP17","HP19","HP20","HP22","HP23","Total"
"2024-04-08",5,14,2,5,0,0,3,1,4,2,36
"2024-04-15",10,19,6,4,0,0,7,1,7,16,70
"2024-04-22",20,14,10,10,0,0,11,11,11,5,92
"2024-04-29",19,17,7,13,0,0,4,13,19,3,95
"2024-05-06",21,23,9,16,0,0,18,16,11,12,126
"2024-05-13",22,7,19,13,0,0,11,14,14,25,125
"2024-05-20",16,1,0,1,0,0,11,6,1,0,36
"2024-05-27",13,13,15,16,0,0,11,15,12,8,103
"2024-06-03",4,1,3,2,0,0,16,4,7,1,38
"2024-06-10",0,1,2,0,0,0,7,2,4,12,28
"2024-06-17",5,3,1,1,0,0,2,2,1,1,16
"2024-06-24",0,1,0,4,0,0,3,3,1,11,23
"2024-07-01",3,0,0,1,0,0,1,0,3,1,9
"2024-07-08",0,2,0,1,0,0,16,1,1,7,28
"2024-07-15",2,0,1,0,0,0,10,1,6,3,23
"2024-07-22",0,1,1,0,0,0,4,0,1,2,9
"2024-07-29",0,1,0,0,0,0,7,2,2,2,14
"2024-08-05",5,0,0,1,0,0,12,0,1,1,20
"2024-08-12",1,1,0,0,0,0,2,0,2,1,7
"2024-08-19",0,0,0,0,0,0,0,0,1,1,2
"2024-08-26",1,0,0,0,0,0,6,0,0,0,7
"2024-09-02",1,0,0,1,0,0,0,1,0,0,3
"2024-09-09",0,0,0,1,0,0,2,0,0,1,4
"2024-09-16",0,0,0,0,0,0,2,0,1,0,3
"2024-09-23",0,0,0,2,0,0,0,0,0,1,3
"2024-09-30",1,0,0,0,0,0,3,0,0,0,4
"2024-10-07",0,0,0,0,0,0,0,0,0,2,2
"2024-10-14",0,0,0,1,0,0,2,0,0,0,3
"2024-10-21",0,0,0,2,0,0,0,0,0,0,2
"2024-10-28",2,0,0,1,0,0,0,0,0,0,3
"2024-11-04",0,0,0,1,0,0,1,0,0,0,2
"2024-11-11",0,0,0,0,0,0,1,0,0,0,1
"2024-11-25",7,0,0,0,0,0,2,0,0,0,9
"2025-01-13",0,0,0,0,0,0,0,0,0,1,1
"2026-01-26",0,0,1,0,0,0,0,0,0,0,1
"Total",158,119,77,97,0,0,175,93,110,119,948
