"trial_week","HP01","HP02","HP03","HP11","HP15","HP17","HP19","HP20","HP22","HP23","Total"
"2024-03-18",4,3,7,0,0,0,5,1,3,0,23
"2024-03-25",1,12,11,2,0,0,8,2,14,4,54
"2024-04-01",12,10,7,5,0,0,14,14,8,13,83
"2024-04-08",16,21,8,5,0,0,17,15,8,15,105
"2024-04-15",24,19,11,7,0,0,14,8,12,21,116
"2024-04-22",19,14,7,9,0,0,12,11,16,5,93
"2024-04-29",18,16,6,24,0,0,6,11,11,3,95
"2024-05-06",12,16,7,16,0,0,18,17,11,12,109
"2024-05-13",9,2,8,11,0,0,11,3,4,17,65
"2024-05-20",5,0,0,1,0,0,10,2,1,0,19
"2024-05-27",3,0,2,4,0,0,7,3,3,0,22
"2024-06-03",4,0,1,1,0,0,10,0,5,0,21
"2024-06-10",0,0,0,0,0,0,7,0,4,1,12
"2024-06-17",3,2,1,1,0,0,2,1,1,1,12
"2024-06-24",0,0,0,3,0,0,3,2,0,8,16
"2024-07-01",3,0,0,1,0,0,1,0,2,0,7
"2024-07-08",0,2,0,1,0,0,9,0,0,4,16
"2024-07-15",2,0,1,0,0,0,9,1,3,1,17
"2024-07-22",0,1,1,0,0,0,4,0,1,1,8
"2024-07-29",0,1,0,0,0,0,4,0,1,1,7
"2024-08-05",5,0,0,1,0,0,8,1,0,1,16
"2024-08-12",1,1,0,0,0,0,1,0,0,0,3
"2024-08-19",0,0,0,0,0,0,0,0,1,1,2
"2024-08-26",1,0,0,0,0,0,6,0,0,0,7
"2024-09-02",1,0,0,1,0,0,0,0,0,0,2
"2024-09-09",0,0,0,1,0,0,0,0,0,1,2
"2024-09-16",0,0,0,0,0,0,1,0,0,0,1
"2024-09-23",0,0,0,2,0,0,0,0,0,1,3
"2024-09-30",1,0,0,0,0,0,0,0,0,0,1
"2024-10-07",0,0,0,0,0,0,0,0,0,2,2
"2024-10-14",0,1,0,1,0,0,2,0,0,0,4
"2024-10-21",0,0,0,1,0,0,0,0,0,0,1
"2024-10-28",2,0,0,0,0,0,0,0,0,0,2
"2024-11-25",7,0,0,0,0,0,0,0,0,0,7
"2025-01-13",0,0,0,0,0,0,0,0,0,1,1
"2026-01-26",0,0,1,0,0,0,0,0,0,0,1
"Total",153,121,79,98,0,0,189,92,109,114,955
