"trial_week","HP01","HP02","HP03","HP11","HP15","HP17","HP19","HP20","HP22","HP23","Total"
"2024-04-01",3,7,6,4,0,0,1,2,1,4,28
"2024-04-08",6,17,7,5,0,0,11,10,6,15,77
"2024-04-15",18,19,10,4,0,0,7,8,10,20,96
"2024-04-22",20,15,9,10,0,0,12,11,15,5,97
"2024-04-29",19,17,7,13,0,0,6,13,19,3,97
"2024-05-06",21,23,7,16,0,0,18,16,12,12,125
"2024-05-13",22,6,17,13,0,0,11,14,11,25,119
"2024-05-20",9,0,0,1,0,0,11,6,1,0,28
"2024-05-27",10,11,7,14,0,0,10,10,11,6,79
"2024-06-03",4,0,1,1,0,0,15,2,6,0,29
"2024-06-10",0,0,0,0,0,0,7,1,4,7,19
"2024-06-17",5,2,1,1,0,0,2,1,1,1,14
"2024-06-24",0,1,0,4,0,0,3,2,1,10,21
"2024-07-01",3,0,0,1,0,0,1,0,3,0,8
"2024-07-08",0,2,0,1,0,0,14,1,1,4,23
"2024-07-15",2,0,1,0,0,0,10,1,3,1,18
"2024-07-22",0,1,1,0,0,0,4,0,1,2,9
"2024-07-29",0,1,0,0,0,0,6,1,1,2,11
"2024-08-05",5,0,0,1,0,0,9,0,1,1,17
"2024-08-12",1,1,0,0,0,0,2,0,2,1,7
"2024-08-19",0,0,0,0,0,0,0,0,1,1,2
"2024-08-26",1,0,0,0,0,0,6,0,0,0,7
"2024-09-02",1,0,0,1,0,0,0,1,0,0,3
"2024-09-09",0,0,0,1,0,0,1,0,0,1,3
"2024-09-16",0,0,0,0,0,0,1,0,0,0,1
"2024-09-23",0,0,0,2,0,0,0,0,0,1,3
"2024-09-30",1,0,0,0,0,0,0,0,0,0,1
"2024-10-07",0,0,0,0,0,0,0,0,0,2,2
"2024-10-14",0,0,0,1,0,0,2,0,0,0,3
"2024-10-21",0,0,0,2,0,0,0,0,0,0,2
"2024-10-28",2,0,0,1,0,0,0,0,0,0,3
"2024-11-04",0,0,0,1,0,0,0,0,0,0,1
"2024-11-25",7,0,0,0,0,0,2,0,0,0,9
"2025-01-13",0,0,0,0,0,0,0,0,0,1,1
"2026-01-26",0,0,1,0,0,0,0,0,0,0,1
"Total",160,123,75,98,0,0,172,100,111,125,964
