"trial_week","HP01","HP02","HP03","HP11","HP15","HP17","HP19","HP20","HP22","HP23","Total"
"2024-04-15",9,11,5,1,0,0,7,0,3,0,36
"2024-04-22",15,14,10,4,0,0,11,0,10,5,69
"2024-04-29",18,17,7,13,0,0,4,12,19,3,93
"2024-05-06",21,23,9,16,0,0,18,16,11,12,126
"2024-05-13",22,10,18,13,0,0,11,15,15,25,129
"2024-05-20",16,2,0,1,0,0,11,6,1,0,37
"2024-05-27",14,12,15,16,0,0,11,15,12,8,103
"2024-06-03",5,6,7,5,0,0,17,10,12,12,74
"2024-06-10",2,3,4,2,0,0,9,4,11,13,48
"2024-06-17",7,3,1,3,0,0,2,2,1,1,20
"2024-06-24",0,1,1,4,0,0,3,4,2,14,29
"2024-07-01",4,0,0,1,0,0,1,1,4,1,12
"2024-07-08",0,2,0,1,0,0,16,1,1,7,28
"2024-07-15",2,2,1,0,0,0,10,2,6,3,26
"2024-07-22",0,1,1,0,0,0,4,0,1,2,9
"2024-07-29",0,1,0,0,0,0,7,2,2,2,14
"2024-08-05",5,0,0,3,0,0,12,0,1,1,22
"2024-08-12",1,1,0,0,0,0,2,0,2,1,7
"2024-08-19",0,0,0,0,0,0,0,0,1,1,2
"2024-08-26",1,0,0,0,0,0,6,0,0,0,7
"2024-09-02",1,0,0,1,0,0,0,1,0,0,3
"2024-09-09",0,0,0,1,0,0,2,0,0,1,4
"2024-09-16",0,0,0,0,0,0,2,0,1,0,3
"2024-09-23",0,0,0,2,0,0,0,0,0,2,4
"2024-09-30",1,0,0,0,0,0,3,0,0,0,4
"2024-10-07",0,0,0,0,0,0,0,0,1,2,3
"2024-10-14",0,0,0,1,0,0,2,0,0,0,3
"2024-10-21",0,0,0,2,0,0,0,1,0,0,3
"2024-10-28",5,0,0,1,0,0,0,0,0,0,6
"2024-11-04",0,0,0,1,0,0,1,0,0,0,2
"2024-11-11",0,0,0,0,0,0,1,0,0,0,1
"2024-11-25",7,0,0,0,0,0,2,0,0,0,9
"2025-01-13",0,0,0,0,0,0,0,0,0,1,1
"2026-01-26",0,0,1,0,0,0,0,0,0,0,1
"Total",156,109,80,92,0,0,175,92,117,117,938
